Sequence Name	Sequence Description	Annotation GO ID	Annotation GO Term	Annotation GO Category	InterPro Accession	InterPro Name	atg_description
MA_17443g0020	DEAD-box ATP-dependent RNA helicase 57	GO:0003676|GO:0005524	nucleic acid binding|ATP binding	Molecular Function|Molecular Function	noIPR|IPR011545|noIPR|noIPR|IPR014001|IPR027417	null|DEAD/DEAH box helicase domain|DEAD/DEAH box helicase domain|DEAD/DEAH box helicase domain|Helicase superfamily 1/2, ATP-binding domain|P-loop containing nucleoside triphosphate hydrolase	AT3G09720-P-loop containing nucleoside triphosphate hydrolases superfamily protein
MA_177039g0010	leucine-rich repeat receptor kinase MSP1	GO:0004672|GO:0005515|GO:0005524|GO:0006468	protein kinase activity|protein binding|ATP binding|protein phosphorylation	Molecular Function|Molecular Function|Molecular Function|Biological Process	noIPR|IPR000719|noIPR|IPR003591|IPR032675|IPR000719|IPR032675|IPR032675|IPR032675|IPR001611|IPR001611|IPR032675|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR017441|IPR008271|noIPR|noIPR|noIPR|IPR000719|IPR011009|IPR032675|noIPR|noIPR|noIPR	null|Protein kinase domain|Protein kinase domain|Leucine-rich repeat, typical subtype|Leucine-rich repeat domain superfamily|Protein kinase domain|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat|Leucine-rich repeat|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Protein kinase, ATP binding site|Serine/threonine-protein kinase, active site|Serine/threonine-protein kinase, active site|Serine/threonine-protein kinase, active site|Serine/threonine-protein kinase, active site|Protein kinase domain|Protein kinase-like domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily	AT5G07280-Leucine-rich repeat transmembrane protein kinase
MA_178902g0010	unknown	NA	NA	NA	noIPR|noIPR|noIPR	null|null|null	AT3G24100-Uncharacterized protein family SERF
MA_182653g0010	dihydropyrimidinase isoform X1	GO:0006807|GO:0016810	nitrogen compound metabolic process|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	Biological Process|Molecular Function	IPR006680|noIPR|IPR011059|noIPR|noIPR|IPR032466	Amidohydrolase-related|Amidohydrolase-related|Metal-dependent hydrolase, composite domain superfamily|Metal-dependent hydrolase, composite domain superfamily|Metal-dependent hydrolase, composite domain superfamily|Metal-dependent hydrolase	AT5G12200-pyrimidine 2
MA_188077g0010	peroxidase 27-like	GO:0004601|GO:0006804|GO:0006979|GO:0020037|GO:0042744|GO:0055114	peroxidase activity|obsolete peroxidase reaction|response to oxidative stress|heme binding|hydrogen peroxide catabolic process|oxidation-reduction process	Molecular Function|Biological Process|Biological Process|Molecular Function|Biological Process|Biological Process	IPR000823|IPR002016|noIPR|noIPR|IPR002016|noIPR|noIPR|IPR019793|IPR002016|IPR033905|IPR010255	Plant peroxidase|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Peroxidases heam-ligand binding site|Haem peroxidase, plant/fungal/bacterial|Secretory peroxidase|Haem peroxidase	AT1G05260-Peroxidase superfamily protein
MA_188199g0010	receptor kinase At4g00960	GO:0004672|GO:0005524|GO:0006468	protein kinase activity|ATP binding|protein phosphorylation	Molecular Function|Molecular Function|Biological Process	IPR000719|IPR000719|noIPR|IPR002902|noIPR|noIPR|noIPR|IPR008271|noIPR|noIPR|noIPR|IPR000719|IPR002902|noIPR|IPR011009|noIPR	Protein kinase domain|Protein kinase domain|Protein kinase domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Serine/threonine-protein kinase, active site|Serine/threonine-protein kinase, active site|Serine/threonine-protein kinase, active site|Serine/threonine-protein kinase, active site|Protein kinase domain|Gnk2-homologous domain|Gnk2-homologous domain|Protein kinase-like domain superfamily|Protein kinase-like domain superfamily	AT4G23160-cysteine-rich RECEPTOR-like kinase
MA_201267g0010	glucan endo-1,3-beta-glucosidase 4-like	GO:0004553|GO:0005975|GO:0030247|GO:0046658	hydrolase activity, hydrolyzing O-glycosyl compounds|carbohydrate metabolic process|polysaccharide binding|anchored component of plasma membrane	Molecular Function|Biological Process|Molecular Function|Cellular Component	IPR012946|IPR012946|noIPR|noIPR	X8 domain|X8 domain|X8 domain|X8 domain	NA
MA_20746g0010	pentatricopeptide repeat-containing chloroplastic	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR011990|IPR002885|IPR002885|IPR032867|IPR011990|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|DYW domain|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT1G11290-Pentatricopeptide repeat (PPR) superfamily protein
MA_264506g0010	NUCLEAR FUSION DEFECTIVE 4-like	GO:0016021|GO:0055085	integral component of membrane|transmembrane transport	Cellular Component|Biological Process	IPR011701|noIPR|IPR010658|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR020846|IPR036259|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	Major facilitator superfamily|Major facilitator superfamily|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Major facilitator superfamily domain|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily	NA
MA_32270g0020	---NA---	NA	NA	NA	NA	NA	NA
MA_323184g0010	NUCLEAR FUSION DEFECTIVE 4-like	GO:0016020	membrane	Cellular Component	IPR010658|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR020846|IPR036259|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Major facilitator superfamily domain|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily	AT2G39210-Major facilitator superfamily protein
MA_32409g0010	EH domain-containing 1	GO:0005509	calcium ion binding	Molecular Function	noIPR|IPR002048|IPR011992	null|EF-hand domain|EF-hand domain pair	AT3G20290-EPS15 homology domain 1
MA_32723g0010	pentatricopeptide repeat-containing chloroplastic	GO:0005515	protein binding	Molecular Function	noIPR|IPR002885|IPR002885|IPR011990|IPR011990|IPR002885|IPR011990|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|noIPR	null|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat	AT1G11290-Pentatricopeptide repeat (PPR) superfamily protein
MA_357382g0010	gibberellin-regulated 6-like	NA	NA	NA	IPR003854|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	Gibberellin regulated protein|Gibberellin regulated protein|Gibberellin regulated protein|Gibberellin regulated protein|Gibberellin regulated protein|Gibberellin regulated protein|Gibberellin regulated protein|Gibberellin regulated protein|Gibberellin regulated protein|Gibberellin regulated protein|Gibberellin regulated protein	AT1G74670-Gibberellin-regulated family protein
MA_3590g0010	E3 ubiquitin- ligase RGLG2	GO:0008270|GO:0016874	zinc ion binding|ligase activity	Molecular Function|Molecular Function	IPR002035|IPR001841|IPR036465|IPR013083|IPR010734|noIPR|noIPR|noIPR|noIPR|IPR001841|noIPR|IPR010734|noIPR|IPR036465	von Willebrand factor, type A|Zinc finger, RING-type|von Willebrand factor A-like domain superfamily|Zinc finger, RING/FYVE/PHD-type|Copine|Copine|Copine|Copine|Copine|Zinc finger, RING-type|Zinc finger, RING-type|Copine|Copine|von Willebrand factor A-like domain superfamily	AT5G14420-RING domain ligase2
MA_366340g0010	glutathione peroxidase	GO:0004602|GO:0006749|GO:0006804|GO:0006979|GO:0055114	glutathione peroxidase activity|glutathione metabolic process|obsolete peroxidase reaction|response to oxidative stress|oxidation-reduction process	Molecular Function|Biological Process|Biological Process|Biological Process|Biological Process	IPR000889|noIPR|IPR000889|IPR000889|IPR000889|noIPR|IPR029760|IPR000889|IPR000889|IPR036249	Glutathione peroxidase|Glutathione peroxidase|Glutathione peroxidase|Glutathione peroxidase|Glutathione peroxidase|Glutathione peroxidase|Glutathione peroxidase conserved site|Glutathione peroxidase|Glutathione peroxidase|Thioredoxin-like superfamily	AT4G11600-glutathione peroxidase 6
MA_370739g0010	kDa proline-rich -like	NA	NA	NA	IPR016140|IPR027923|noIPR|noIPR|noIPR|noIPR|IPR027923|IPR036312	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily	AT1G62500-Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
MA_381265g0010	DUF1677 domain-containing	NA	NA	NA	IPR012876|noIPR|noIPR|noIPR	Protein of unknown function DUF1677, plant|Protein of unknown function DUF1677, plant|Protein of unknown function DUF1677, plant|Protein of unknown function DUF1677, plant	NA
MA_390290g0010	probable LRR receptor-like serine threonine- kinase At1g56140 isoform X2	GO:0004672|GO:0005524|GO:0006468	protein kinase activity|ATP binding|protein phosphorylation	Molecular Function|Molecular Function|Biological Process	IPR000719|noIPR|noIPR|noIPR|IPR000719|noIPR|noIPR|noIPR|IPR017441|IPR008271|noIPR|noIPR|noIPR|noIPR|noIPR|IPR000719|noIPR|IPR011009	Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase, ATP binding site|Serine/threonine-protein kinase, active site|Serine/threonine-protein kinase, active site|Serine/threonine-protein kinase, active site|Serine/threonine-protein kinase, active site|Serine/threonine-protein kinase, active site|Serine/threonine-protein kinase, active site|Protein kinase domain|Protein kinase domain|Protein kinase-like domain superfamily	AT1G56140-Leucine-rich repeat transmembrane protein kinase
MA_41676g0020	pentatricopeptide repeat-containing At1g20230	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|IPR011990|IPR002885|IPR002885|noIPR|IPR011990|IPR032867|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885	Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|DYW domain|DYW domain|DYW domain|DYW domain|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat	AT2G03880-Pentatricopeptide repeat (PPR) superfamily protein
MA_4355g0010	unknown	NA	NA	NA	noIPR	null	NA
MA_437179g0010	myb-related 308-like	GO:0003677	DNA binding	Molecular Function	IPR001005|IPR001005|noIPR|noIPR|noIPR|noIPR|IPR017930|IPR017930|IPR001005|IPR001005|IPR009057	SANT/Myb domain|SANT/Myb domain|SANT/Myb domain|SANT/Myb domain|SANT/Myb domain|SANT/Myb domain|Myb domain|Myb domain|SANT/Myb domain|SANT/Myb domain|Homeobox-like domain superfamily	AT3G61250-myb domain protein 17
MA_440140g0010	unknown, partial	NA	NA	NA	IPR007493|IPR036758|noIPR|noIPR|IPR036758	Protein of unknown function DUF538|At5g01610-like superfamily|At5g01610-like superfamily|At5g01610-like superfamily|At5g01610-like superfamily	AT4G24130-DUF538 family protein (Protein of unknown function, DUF538)
MA_4522g0020	unknown, partial	NA	NA	NA	IPR036758|IPR007493|noIPR|noIPR|IPR036758	At5g01610-like superfamily|Protein of unknown function DUF538|Protein of unknown function DUF538|Protein of unknown function DUF538|At5g01610-like superfamily	AT1G56580-plant/protein (Protein of unknown function, DUF538)
MA_458736g0010	peroxidase 5-like	GO:0004601|GO:0006804|GO:0006979|GO:0020037|GO:0055114	peroxidase activity|obsolete peroxidase reaction|response to oxidative stress|heme binding|oxidation-reduction process	Molecular Function|Biological Process|Biological Process|Molecular Function|Biological Process	IPR000823|noIPR|IPR002016|noIPR|noIPR|IPR002016|IPR010255	Plant peroxidase|Plant peroxidase|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase	AT1G05260-Peroxidase superfamily protein
MA_461914g0010	probable LRR receptor-like serine threonine- kinase At1g56140	NA	NA	NA	IPR021720|noIPR|noIPR|noIPR	Malectin|Malectin|Malectin|Malectin	NA
MA_4763496g0010	---NA---	NA	NA	NA	noIPR	null	NA
MA_47845g0010	kDa proline-rich -like	NA	NA	NA	IPR016140|noIPR|IPR027923|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR027923|noIPR|noIPR|IPR036312|noIPR	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain|Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily|Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily	AT1G62500-Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
MA_481097g0010	purine permease 3-like	GO:0005215|GO:0006810|GO:0016021	transporter activity|transport|integral component of membrane	Molecular Function|Biological Process|Cellular Component	noIPR|IPR030182|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	null|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant	AT1G28220-purine permease 3
MA_49360g0010	O-acyltransferase WSD1-like	GO:0004144|GO:0042967|GO:0046486	diacylglycerol O-acyltransferase activity|acyl-carrier-protein biosynthetic process|glycerolipid metabolic process	Molecular Function|Biological Process|Biological Process	IPR009721|noIPR|noIPR|noIPR|noIPR|noIPR	O-acyltransferase WSD1, C-terminal|O-acyltransferase WSD1, C-terminal|O-acyltransferase WSD1, C-terminal|O-acyltransferase WSD1, C-terminal|O-acyltransferase WSD1, C-terminal|O-acyltransferase WSD1, C-terminal	AT5G53390-O-acyltransferase (WSD1-like) family protein
MA_49450g0010	peroxidase 49	GO:0004601|GO:0006804|GO:0006979|GO:0020037|GO:0042744|GO:0055114	peroxidase activity|obsolete peroxidase reaction|response to oxidative stress|heme binding|hydrogen peroxide catabolic process|oxidation-reduction process	Molecular Function|Biological Process|Biological Process|Molecular Function|Biological Process|Biological Process	IPR002016|IPR000823|IPR002016|noIPR|noIPR|noIPR|IPR019793|IPR019794|IPR002016|IPR033905|IPR010255	Haem peroxidase, plant/fungal/bacterial|Plant peroxidase|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Peroxidases heam-ligand binding site|Peroxidase, active site|Haem peroxidase, plant/fungal/bacterial|Secretory peroxidase|Haem peroxidase	AT4G36430-Peroxidase superfamily protein
