Sequence Name	Sequence Description	Annotation GO ID	Annotation GO Term	Annotation GO Category	InterPro Accession	InterPro Name	atg_description
MA_136565g0010	unknown	NA	NA	NA	NA	NA	NA
MA_137736g0010	pentatricopeptide repeat-containing At1g20230	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR032867|IPR011990|IPR011990|IPR002885|IPR002885|IPR011990|IPR002885|noIPR|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	DYW domain|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT2G03880-Pentatricopeptide repeat (PPR) superfamily protein
MA_140124g0010	Beta-xylosidase alpha-L-arabinofuranosidase 2	GO:0004553|GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds|carbohydrate metabolic process	Molecular Function|Biological Process	IPR001764|IPR026891|IPR036962|IPR013783|IPR001764|IPR036881|IPR002772|IPR026891|noIPR|noIPR|IPR017853|IPR036881	Glycoside hydrolase, family 3, N-terminal|Fibronectin type III-like domain|Glycoside hydrolase, family 3, N-terminal domain superfamily|Immunoglobulin-like fold|Glycoside hydrolase, family 3, N-terminal|Glycoside hydrolase family 3 C-terminal domain superfamily|Glycoside hydrolase family 3 C-terminal domain|Fibronectin type III-like domain|Fibronectin type III-like domain|Fibronectin type III-like domain|Glycoside hydrolase superfamily|Glycoside hydrolase family 3 C-terminal domain superfamily	AT5G64570-beta-D-xylosidase 4
MA_15386g0010	rab family GTPase	GO:0003924|GO:0005525	GTPase activity|GTP binding	Molecular Function|Molecular Function	noIPR|noIPR|noIPR|noIPR|noIPR|IPR001806|noIPR|IPR005225|noIPR|noIPR|noIPR|noIPR|noIPR|IPR027417	null|null|null|null|null|Small GTPase superfamily|Small GTPase superfamily|Small GTP-binding protein domain|Small GTP-binding protein domain|Small GTP-binding protein domain|Small GTP-binding protein domain|Small GTP-binding protein domain|Small GTP-binding protein domain|P-loop containing nucleoside triphosphate hydrolase	AT5G60860-RAB GTPase homolog A1F
MA_217488g0010	beta-galactosidase 8	GO:0004553|GO:0005975|GO:0030246	hydrolase activity, hydrolyzing O-glycosyl compounds|carbohydrate metabolic process|carbohydrate binding	Molecular Function|Biological Process|Molecular Function	IPR001944|IPR008979|noIPR|IPR008979|IPR000922|IPR031330|IPR001944|noIPR|IPR000922|IPR017853|IPR008979|IPR008979	Glycoside hydrolase, family 35|Galactose-binding-like domain superfamily|Galactose-binding-like domain superfamily|Galactose-binding-like domain superfamily|D-galactoside/L-rhamnose binding SUEL lectin domain|Glycoside hydrolase 35, catalytic domain|Glycoside hydrolase, family 35|Glycoside hydrolase, family 35|D-galactoside/L-rhamnose binding SUEL lectin domain|Glycoside hydrolase superfamily|Galactose-binding-like domain superfamily|Galactose-binding-like domain superfamily	NA
MA_2191330g0010	legumin-like storage	GO:0045735	nutrient reservoir activity	Molecular Function	IPR014710|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold	NA
MA_278449g0010	unknown	NA	NA	NA	noIPR	null	NA
MA_28880g0010	legumin A-like	GO:0045735	nutrient reservoir activity	Molecular Function	IPR006045|IPR014710|noIPR|noIPR|noIPR|IPR011051	Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily	AT5G44120-RmlC-like cupins superfamily protein
MA_29066g0010	legumin-like storage	GO:0045735	nutrient reservoir activity	Molecular Function	IPR006045|IPR006045|IPR014710|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR011051|noIPR	Cupin 1|Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily|RmlC-like cupin domain superfamily	AT5G44120-RmlC-like cupins superfamily protein
MA_361914g0010	BnaC05g40190D	NA	NA	NA	NA	NA	AT1G31770-ATP-binding cassette 14
MA_411073g0010	methyl- -binding domain-containing 5	GO:0003677|GO:0005634	DNA binding|nucleus	Molecular Function|Cellular Component	IPR001739|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR001739|IPR016177	Methyl-CpG DNA binding|Methyl-CpG DNA binding|Methyl-CpG DNA binding|Methyl-CpG DNA binding|Methyl-CpG DNA binding|Methyl-CpG DNA binding|Methyl-CpG DNA binding|Methyl-CpG DNA binding|Methyl-CpG DNA binding|DNA-binding domain superfamily	AT3G46580-methyl-CPG-binding domain protein 5
MA_427202g0010	RNA-binding KH domain-containing PEPPER-like	GO:0003723	RNA binding	Molecular Function	IPR004087|IPR036612|IPR004088|noIPR|noIPR|noIPR|noIPR|IPR036612	K Homology domain|K Homology domain, type 1 superfamily|K Homology domain, type 1|K Homology domain, type 1|K Homology domain, type 1|K Homology domain, type 1|K Homology domain, type 1|K Homology domain, type 1 superfamily	AT3G04610-RNA-binding KH domain-containing protein
MA_477187g0010	legumin-like storage	GO:0045735	nutrient reservoir activity	Molecular Function	IPR006045|IPR006045|IPR014710|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR011051|noIPR	Cupin 1|Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily|RmlC-like cupin domain superfamily	AT5G44120-RmlC-like cupins superfamily protein
MA_527006g0010	legumin-like storage	GO:0045735	nutrient reservoir activity	Molecular Function	IPR006044|IPR006045|IPR014710|IPR006045|noIPR|noIPR|IPR011051	11-S seed storage protein, plant|Cupin 1|RmlC-like jelly roll fold|Cupin 1|Cupin 1|Cupin 1|RmlC-like cupin domain superfamily	AT4G28520-cruciferin 3
MA_53678g0010	---NA---	NA	NA	NA	noIPR|noIPR|noIPR	null|null|null	NA
MA_60018g0010	DNA (cytosine-5)-methyltransferase DRM2-like isoform X1	GO:0006306	DNA methylation	Biological Process	noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR018117|IPR030380|IPR029063|IPR029063	null|null|null|null|null|null|null|DNA methylase, C-5 cytosine-specific, active site|SAM-dependent methyltransferase DRM|S-adenosyl-L-methionine-dependent methyltransferase|S-adenosyl-L-methionine-dependent methyltransferase	AT5G14620-domains rearranged methyltransferase 2
MA_6212404g0010	inositol 5-phosphatase	GO:0016787|GO:0046856	hydrolase activity|phosphatidylinositol dephosphorylation	Molecular Function|Biological Process	IPR036691|noIPR|noIPR|IPR036691	Endonuclease/exonuclease/phosphatase superfamily|Endonuclease/exonuclease/phosphatase superfamily|Endonuclease/exonuclease/phosphatase superfamily|Endonuclease/exonuclease/phosphatase superfamily	AT1G65580-Endonuclease/exonuclease/phosphatase family protein
MA_6215853g0010	cell division homolog 2- chloroplastic-like	GO:0003924	GTPase activity	Molecular Function	IPR036525|IPR003008|noIPR|noIPR|IPR036525	Tubulin/FtsZ, GTPase domain superfamily|Tubulin/FtsZ, GTPase domain|Tubulin/FtsZ, GTPase domain|Tubulin/FtsZ, GTPase domain|Tubulin/FtsZ, GTPase domain superfamily	AT2G36250-Tubulin/FtsZ family protein
MA_67677g0010	11-S seed storage	GO:0045735	nutrient reservoir activity	Molecular Function	IPR006044|IPR006045|IPR006045|IPR014710|IPR014710|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR011051|noIPR	11-S seed storage protein, plant|Cupin 1|Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily|RmlC-like cupin domain superfamily	AT1G03880-cruciferin 2
MA_6922402g0010	tRNA (guanine-N(7)-)-methyltransferase	GO:0006400|GO:0008176	tRNA modification|tRNA (guanine-N7-)-methyltransferase activity	Biological Process|Molecular Function	noIPR|IPR003358|IPR003358|noIPR|IPR003358|IPR029063	null|tRNA (guanine-N-7) methyltransferase, Trmb type|tRNA (guanine-N-7) methyltransferase, Trmb type|tRNA (guanine-N-7) methyltransferase, Trmb type|tRNA (guanine-N-7) methyltransferase, Trmb type|S-adenosyl-L-methionine-dependent methyltransferase	AT5G17660-tRNA (guanine-N-7) methyltransferase
MA_705422g0010	cinnamoyl- reductase 1	GO:0003824|GO:0050662	catalytic activity|coenzyme binding	Molecular Function|Molecular Function	noIPR|noIPR|IPR001509|noIPR|noIPR|IPR036291	null|null|NAD-dependent epimerase/dehydratase|NAD-dependent epimerase/dehydratase|NAD-dependent epimerase/dehydratase|NAD(P)-binding domain superfamily	AT5G58490-NAD(P)-binding Rossmann-fold superfamily protein
MA_7130527g0010	rhomboid 19	GO:0004252|GO:0005622|GO:0006508|GO:0006890|GO:0016021	serine-type endopeptidase activity|intracellular|proteolysis|retrograde vesicle-mediated transport, Golgi to ER|integral component of membrane	Molecular Function|Cellular Component|Biological Process|Biological Process|Cellular Component	noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	null|null|null|null|null|null|null|null|null	NA
MA_769629g0010	vicilin-like storage	GO:0045735	nutrient reservoir activity	Molecular Function	IPR014710|IPR014710|IPR006045|IPR014710|IPR014710|noIPR|noIPR|noIPR|noIPR|IPR011051	RmlC-like jelly roll fold|RmlC-like jelly roll fold|Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily	AT3G22640-cupin family protein
MA_78087g0010	ABHD11 isoform X1	GO:0016787	hydrolase activity	Molecular Function	IPR029058|noIPR|noIPR|IPR029058	Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold	AT4G10030-alpha/beta-Hydrolases superfamily protein
MA_8424978g0010	11S globulin subunit beta-like	GO:0045735	nutrient reservoir activity	Molecular Function	IPR006044|IPR014710|noIPR|noIPR|IPR011051	11-S seed storage protein, plant|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily	AT1G03890-RmlC-like cupins superfamily protein
MA_89868g0010	unknown	GO:0003924	GTPase activity	Molecular Function	noIPR|noIPR|IPR036525	null|null|Tubulin/FtsZ, GTPase domain superfamily	AT3G52750-Tubulin/FtsZ family protein
MA_91576g0010	basic leucine zipper 43-like	GO:0003700|GO:0005667|GO:0006355|GO:0045449	transcription factor activity, sequence-specific DNA binding|transcription factor complex|regulation of transcription, DNA-templated|regulation of transcription, DNA-templated	Molecular Function|Cellular Component|Biological Process|Biological Process	noIPR|IPR004827|IPR004827|noIPR|noIPR|noIPR|IPR004827|IPR004827|noIPR|noIPR	null|Basic-leucine zipper domain|Basic-leucine zipper domain|Basic-leucine zipper domain|Basic-leucine zipper domain|Basic-leucine zipper domain|Basic-leucine zipper domain|Basic-leucine zipper domain|Basic-leucine zipper domain|Basic-leucine zipper domain	NA
MA_996191g0010	NADPH:quinone oxidoreductase	GO:0016491	oxidoreductase activity	Molecular Function	IPR029039|IPR005025|noIPR|noIPR|IPR029039	Flavoprotein-like superfamily|NADPH-dependent FMN reductase-like|NADPH-dependent FMN reductase-like|NADPH-dependent FMN reductase-like|Flavoprotein-like superfamily	AT3G27890-NADPH:quinone oxidoreductase
