Sequence Name	Sequence Description	Annotation GO ID	Annotation GO Term	Annotation GO Category	InterPro Accession	InterPro Name	atg_description
MA_10434606g0010	GDP-fucose O-fucosyltransferase	GO:0016021|GO:0016757	integral component of membrane|transferase activity, transferring glycosyl groups	Cellular Component|Molecular Function	IPR019378|noIPR|noIPR	GDP-fucose protein O-fucosyltransferase|GDP-fucose protein O-fucosyltransferase|GDP-fucose protein O-fucosyltransferase	AT4G24530-O-fucosyltransferase family protein
MA_10435009g0010	DASH complex subunit Dad2	NA	NA	NA	noIPR|noIPR|noIPR	null|null|null	NA
MA_10435569g0010	probable ubiquitin-conjugating enzyme E2 23 isoform X1	NA	NA	NA	IPR016135|IPR000608|noIPR|noIPR|noIPR|noIPR|IPR000608|IPR016135	Ubiquitin-conjugating enzyme/RWD-like|Ubiquitin-conjugating enzyme E2|Ubiquitin-conjugating enzyme E2|Ubiquitin-conjugating enzyme E2|Ubiquitin-conjugating enzyme E2|Ubiquitin-conjugating enzyme E2|Ubiquitin-conjugating enzyme E2|Ubiquitin-conjugating enzyme/RWD-like	AT2G16920-ubiquitin-conjugating enzyme 23
MA_10436131g0010	P-loop containing nucleoside triphosphate hydrolases superfamily	GO:0005634|GO:0006281|GO:0007049	nucleus|DNA repair|cell cycle	Cellular Component|Biological Process|Biological Process	noIPR|noIPR|IPR004582	null|null|Checkpoint protein Rad17/Rad24	AT1G77620-P-loop containing nucleoside triphosphate hydrolases superfamily protein
MA_10436524g0010	ATP-binding cassette sub-family A member 5-like isoform X3	GO:0005215|GO:0006810|GO:0016021	transporter activity|transport|integral component of membrane	Molecular Function|Biological Process|Cellular Component	IPR026082|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter A, ABCA	AT2G41700-ATP-binding cassette A1
MA_119165g0010	activator of 90 kDa heat shock ATPase homolog	GO:0006950	response to stress	Biological Process	IPR023393|IPR013538|noIPR|noIPR|noIPR	START-like domain superfamily|Activator of Hsp90 ATPase homologue 1-like|Activator of Hsp90 ATPase homologue 1-like|Activator of Hsp90 ATPase homologue 1-like|Activator of Hsp90 ATPase homologue 1-like	AT3G12050-Aha1 domain-containing protein
MA_120284g0010	unknown	NA	NA	NA	IPR006502|IPR006502|IPR006502|noIPR	Protein of unknown function PDDEXK-like|Protein of unknown function PDDEXK-like|Protein of unknown function PDDEXK-like|Protein of unknown function PDDEXK-like	AT4G14620-hypothetical protein (DUF506)
MA_12280g0010	pumilio homolog 2-like	GO:0003723	RNA binding	Molecular Function	IPR001313|IPR011989|IPR012940|IPR001313|noIPR|noIPR|noIPR|noIPR|noIPR|IPR001313|IPR001313|IPR001313|IPR001313|IPR001313|IPR001313|IPR033133|IPR033712|IPR016024	Pumilio RNA-binding repeat|Armadillo-like helical|Nucleic acid binding NABP|Pumilio RNA-binding repeat|Pumilio RNA-binding repeat|Pumilio RNA-binding repeat|Pumilio RNA-binding repeat|Pumilio RNA-binding repeat|Pumilio RNA-binding repeat|Pumilio RNA-binding repeat|Pumilio RNA-binding repeat|Pumilio RNA-binding repeat|Pumilio RNA-binding repeat|Pumilio RNA-binding repeat|Pumilio RNA-binding repeat|Pumilio homology domain|Pumilio, RNA binding domain|Armadillo-type fold	AT2G29200-pumilio 1
MA_128728g0010	serine threonine- kinase dst1	GO:0044424	intracellular part	Cellular Component	noIPR|noIPR	null|null	NA
MA_129306g0010	RING-H2 finger ATL74-like	GO:0016020|GO:0046872	membrane|metal ion binding	Cellular Component|Molecular Function	IPR001841|IPR001841|IPR013083|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR001841|noIPR|noIPR	Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type	AT5G42200-RING/U-box superfamily protein
MA_129667g0010	NPF family transporter	GO:0005215|GO:0006857|GO:0016020	transporter activity|oligopeptide transport|membrane	Molecular Function|Biological Process|Cellular Component	IPR000109|noIPR|noIPR|noIPR|IPR000109|IPR018456|IPR018456|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR036259|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|PTR2 family proton/oligopeptide symporter, conserved site|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily	AT2G02040-peptide transporter 2
MA_13649g0010	---NA---	NA	NA	NA	NA	NA	NA
MA_139135g0010	Alpha-amylase isozyme 2A	GO:0004556|GO:0005509|GO:0005982|GO:0005985	alpha-amylase activity|calcium ion binding|starch metabolic process|sucrose metabolic process	Molecular Function|Molecular Function|Biological Process|Biological Process	IPR012850|noIPR|noIPR|IPR012850|noIPR|noIPR|noIPR|noIPR|IPR017853	Alpha-amylase, C-terminal beta-sheet|Alpha-amylase, C-terminal beta-sheet|Alpha-amylase, C-terminal beta-sheet|Alpha-amylase, C-terminal beta-sheet|Alpha-amylase, C-terminal beta-sheet|Alpha-amylase, C-terminal beta-sheet|Alpha-amylase, C-terminal beta-sheet|Alpha-amylase, C-terminal beta-sheet|Glycoside hydrolase superfamily	AT1G76130-alpha-amylase-like 2
MA_1431939g0010	Arogenate dehydratase	GO:0000162|GO:0004664|GO:0006571|GO:0009094|GO:0019274	tryptophan biosynthetic process|prephenate dehydratase activity|tyrosine biosynthetic process|L-phenylalanine biosynthetic process|L-phenylalanine biosynthetic process	Biological Process|Molecular Function|Biological Process|Biological Process|Biological Process	noIPR|IPR018528|noIPR	null|Prephenate dehydratase, conserved site|Prephenate dehydratase, conserved site	NA
MA_159g0010	DNA-directed RNA polymerase III subunit RPC3	GO:0001056|GO:0005666|GO:0006351	RNA polymerase III activity|DNA-directed RNA polymerase III complex|transcription, DNA-templated	Molecular Function|Cellular Component|Biological Process	IPR036388|IPR013197|IPR036388|noIPR|noIPR	Winged helix-like DNA-binding domain superfamily|RNA polymerase III subunit RPC82-related, helix-turn-helix|Winged helix-like DNA-binding domain superfamily|Winged helix-like DNA-binding domain superfamily|Winged helix-like DNA-binding domain superfamily	AT3G49000-RNA polymerase III subunit RPC82 family protein
MA_160202g0010	mitogen-activated kinase homolog NTF3-like	GO:0004672|GO:0005524|GO:0006468	protein kinase activity|ATP binding|protein phosphorylation	Molecular Function|Molecular Function|Biological Process	IPR000719|IPR000719|noIPR|noIPR|noIPR|IPR000719|IPR011009	Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase-like domain superfamily	AT2G18170-MAP kinase 7
MA_165491g0010	3-phosphoinositide-dependent kinase 2	GO:0004672|GO:0005524|GO:0006468	protein kinase activity|ATP binding|protein phosphorylation	Molecular Function|Molecular Function|Biological Process	noIPR|IPR000719|noIPR|noIPR|noIPR|IPR000719|IPR011009	null|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase-like domain superfamily	AT5G04510-3'-phosphoinositide-dependent protein kinase 1
MA_166860g0010	uncharacterized protein LOC110667186	GO:0046983	protein dimerization activity	Molecular Function	IPR008906|noIPR|noIPR|noIPR|IPR012337	HAT, C-terminal dimerisation domain|HAT, C-terminal dimerisation domain|HAT, C-terminal dimerisation domain|HAT, C-terminal dimerisation domain|Ribonuclease H-like superfamily	AT5G33406-hAT dimerization domain-containing protein / transposase-like protein
MA_16805g0010	TIC chloroplastic	NA	NA	NA	IPR007378|IPR007378	Tic22-like|Tic22-like	AT4G33350-Tic22-like family protein
MA_172822g0010	Transmembrane 194	GO:0016021	integral component of membrane	Cellular Component	noIPR|noIPR	null|null	NA
MA_173882g0010	outer envelope pore chloroplastic	GO:0009536	plastid	Cellular Component	noIPR|noIPR|noIPR	null|null|null	AT2G43950-chloroplast outer envelope protein 37
MA_175319g0020	dynamin-related 3A	GO:0005525	GTP binding	Molecular Function	IPR000375|IPR022812|noIPR|IPR022812|noIPR	Dynamin central domain|Dynamin superfamily|Dynamin superfamily|Dynamin superfamily|Dynamin superfamily	AT4G33650-dynamin-related protein 3A
MA_179047g0010	purple acid phosphatase 3-like	GO:0016787	hydrolase activity	Molecular Function	IPR004843|IPR029052|noIPR|noIPR|IPR029052	Calcineurin-like phosphoesterase domain, ApaH type|Metallo-dependent phosphatase-like|Metallo-dependent phosphatase-like|Metallo-dependent phosphatase-like|Metallo-dependent phosphatase-like	AT1G25230-Calcineurin-like metallo-phosphoesterase superfamily protein
MA_190532g0010	unknown	NA	NA	NA	noIPR|noIPR	null|null	NA
MA_190532g0020	zinc ion-binding	NA	NA	NA	noIPR|IPR013083|noIPR|noIPR	null|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type	AT3G60520-zinc ion-binding protein
MA_1909g0010	---NA---	NA	NA	NA	noIPR	null	NA
MA_200163g0010	AUGMIN subunit 2	GO:0031023|GO:0051225	microtubule organizing center organization|spindle assembly	Biological Process|Biological Process	noIPR|IPR028346|IPR028346	null|HAUS augmin-like complex subunit 2|HAUS augmin-like complex subunit 2	AT2G32980-HAUS augmin-like complex subunit
MA_20165g0030	transcriptional corepressor LEUNIG isoform X1	GO:0005515	protein binding	Molecular Function	IPR001680|IPR001680|IPR015943|noIPR|noIPR|noIPR|noIPR|IPR001680|IPR001680|IPR017986|IPR036322	WD40 repeat|WD40 repeat|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40 repeat|WD40 repeat|WD40-repeat-containing domain|WD40-repeat-containing domain superfamily	AT4G32551-transcriptional corepressor LEUNIG
MA_203823g0010	mitochondrial import inner membrane translocase subunit PAM16 like 2-like	GO:0005744|GO:0030150	mitochondrial inner membrane presequence translocase complex|protein import into mitochondrial matrix	Cellular Component|Biological Process	IPR036869|noIPR|IPR005341|noIPR	DnaJ domain superfamily|DnaJ domain superfamily|Mitochondrial import inner membrane translocase subunit Tim16|Mitochondrial import inner membrane translocase subunit Tim16	NA
MA_20484g0010	unknown	GO:0008444|GO:0008654|GO:0016021|GO:0046486	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity|phospholipid biosynthetic process|integral component of membrane|glycerolipid metabolic process	Molecular Function|Biological Process|Cellular Component|Biological Process	NA	NA	NA
MA_20527g0010	deSI At4g17486	NA	NA	NA	IPR008580|IPR008580|noIPR|IPR008580	PPPDE putative peptidase domain|PPPDE putative peptidase domain|PPPDE putative peptidase domain|PPPDE putative peptidase domain	AT4G25660-PPPDE putative thiol peptidase family protein
MA_214607g0010	sister chromatid cohesion PDS5 homolog A isoform X3	GO:0005488	binding	Molecular Function	noIPR|IPR011989|IPR026003|noIPR|noIPR|IPR016024	null|Armadillo-like helical|HEAT repeat associated with sister chromatid cohesion protein|HEAT repeat associated with sister chromatid cohesion protein|HEAT repeat associated with sister chromatid cohesion protein|Armadillo-type fold	AT1G77600-ARM repeat superfamily protein
MA_221668g0010	prolyl endopeptidase-like	GO:0004252|GO:0070008	serine-type endopeptidase activity|serine-type exopeptidase activity	Molecular Function|Molecular Function	IPR029058|noIPR|IPR023302|noIPR|noIPR|noIPR	Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Peptidase S9A, N-terminal domain|Peptidase S9A, N-terminal domain|Peptidase S9A, N-terminal domain|Peptidase S9A, N-terminal domain	AT1G76140-Prolyl oligopeptidase family protein
MA_24146g0010	Nucleotidyltransferase family	NA	NA	NA	noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	null|null|null|null|null|null	AT3G45750-Nucleotidyltransferase family protein
