Sequence Name	Sequence Description	Annotation GO ID	Annotation GO Term	Annotation GO Category	InterPro Accession	InterPro Name	atg_description
MA_124481g0010	ENHANCED DOWNY MILDEW 2	GO:0008270	zinc ion binding	Molecular Function	noIPR|noIPR|noIPR|noIPR|noIPR	null|null|null|null|null	AT5G48090-EDM2-like protein1
MA_164007g0010	serine threonine- kinase 38 isoform X1	GO:0004674|GO:0005524|GO:0006468|GO:0009069	protein serine/threonine kinase activity|ATP binding|protein phosphorylation|serine family amino acid metabolic process	Molecular Function|Molecular Function|Biological Process|Biological Process	IPR000961|IPR017892|noIPR|IPR000719|noIPR|noIPR|IPR000719|IPR000961|IPR011009	AGC-kinase, C-terminal|Protein kinase, C-terminal|Protein kinase, C-terminal|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|AGC-kinase, C-terminal|Protein kinase-like domain superfamily	AT4G14350-AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein
MA_17760g0010	GBF-interacting 1-like isoform X1	NA	NA	NA	noIPR|noIPR|noIPR|noIPR	null|null|null|null	AT3G07660-flocculation protein (DUF1296)
MA_183711g0010	squamous cell carcinoma antigen recognized by T-cells 3	GO:0003676	nucleic acid binding	Molecular Function	IPR000504|noIPR|noIPR|noIPR|IPR000504|IPR035979	RNA recognition motif domain|RNA recognition motif domain|RNA recognition motif domain|RNA recognition motif domain|RNA recognition motif domain|RNA-binding domain superfamily	AT4G24270-EMBRYO DEFECTIVE 140
MA_199195g0010	P-loop containing nucleoside triphosphate hydrolase superfamily	GO:0005524	ATP binding	Molecular Function	noIPR|IPR003959|noIPR|noIPR|noIPR|IPR003960|noIPR|IPR027417	null|ATPase, AAA-type, core|ATPase, AAA-type, core|ATPase, AAA-type, core|ATPase, AAA-type, core|ATPase, AAA-type, conserved site|ATPase, AAA-type, conserved site|P-loop containing nucleoside triphosphate hydrolase	AT3G19740-P-loop containing nucleoside triphosphate hydrolases superfamily protein
MA_203800g0010	unknown	NA	NA	NA	noIPR	null	NA
MA_2674882g0010	---NA---	NA	NA	NA	noIPR	null	NA
MA_280477g0010	transcription initiation factor TFIID subunit 9	GO:0006352|GO:0046982	DNA-templated transcription, initiation|protein heterodimerization activity	Biological Process|Molecular Function	noIPR|IPR003162|noIPR|noIPR|IPR003162|IPR009072	null|Transcription initiation factor TAFII31|Transcription initiation factor TAFII31|Transcription initiation factor TAFII31|Transcription initiation factor TAFII31|Histone-fold	AT1G54140-TATA binding protein associated factor 21kDa subunit
MA_3942g0010	basic leucine zipper 24-like	GO:0003700|GO:0005667|GO:0006355|GO:0045449	transcription factor activity, sequence-specific DNA binding|transcription factor complex|regulation of transcription, DNA-templated|regulation of transcription, DNA-templated	Molecular Function|Cellular Component|Biological Process|Biological Process	noIPR|IPR004827|noIPR|IPR004827|noIPR|noIPR|noIPR|IPR004827|noIPR|noIPR	null|Basic-leucine zipper domain|Basic-leucine zipper domain|Basic-leucine zipper domain|Basic-leucine zipper domain|Basic-leucine zipper domain|Basic-leucine zipper domain|Basic-leucine zipper domain|Basic-leucine zipper domain|Basic-leucine zipper domain	AT4G35040-Basic-leucine zipper (bZIP) transcription factor family protein
MA_40805g0010	serine threonine- kinase 4	GO:0000775|GO:0004702|GO:0005524|GO:0005634|GO:0005739|GO:0007178|GO:0009069|GO:0016021|GO:0023014|GO:0050369	chromosome, centromeric region|signal transducer, downstream of receptor, with serine/threonine kinase activity|ATP binding|nucleus|mitochondrion|transmembrane receptor protein serine/threonine kinase signaling pathway|serine family amino acid metabolic process|integral component of membrane|signal transduction by protein phosphorylation|[tyrosine 3-monooxygenase] kinase activity	Cellular Component|Molecular Function|Molecular Function|Cellular Component|Cellular Component|Biological Process|Biological Process|Cellular Component|Biological Process|Molecular Function	noIPR	null	AT1G69220-Protein kinase superfamily protein
MA_5389750g0010	PREDICTED: uncharacterized protein At2g33490 isoform X1	NA	NA	NA	noIPR	null	NA
MA_5969116g0010	1-phosphatidylinositol-4-phosphate 5-kinase zinc ion binding family	GO:0005524|GO:0016307|GO:0046488	ATP binding|phosphatidylinositol phosphate kinase activity|phosphatidylinositol metabolic process	Molecular Function|Molecular Function|Biological Process	IPR002498|IPR027483|IPR002498|IPR002423|noIPR|IPR002423|noIPR|noIPR|noIPR|IPR002498|noIPR	Phosphatidylinositol-4-phosphate 5-kinase, core|Phosphatidylinositol-4-phosphate 5-kinase, C-terminal|Phosphatidylinositol-4-phosphate 5-kinase, core|Chaperonin Cpn60/TCP-1 family|Chaperonin Cpn60/TCP-1 family|Chaperonin Cpn60/TCP-1 family|Chaperonin Cpn60/TCP-1 family|Chaperonin Cpn60/TCP-1 family|Chaperonin Cpn60/TCP-1 family|Phosphatidylinositol-4-phosphate 5-kinase, core|Phosphatidylinositol-4-phosphate 5-kinase, core	AT4G33240-1-phosphatidylinositol-3-phosphate 5-kinase FAB1A
MA_70500g0010	SNW SKI-interacting -like	GO:0000398|GO:0005681	mRNA splicing, via spliceosome|spliceosomal complex	Biological Process|Cellular Component	noIPR|noIPR|IPR004015|noIPR|noIPR|noIPR|noIPR|IPR017862	null|null|SKI-interacting protein SKIP, SNW domain|SKI-interacting protein SKIP, SNW domain|SKI-interacting protein SKIP, SNW domain|SKI-interacting protein SKIP, SNW domain|SKI-interacting protein SKIP, SNW domain|SKI-interacting protein, SKIP	NA
MA_715864g0010	---NA---	NA	NA	NA	noIPR|noIPR|noIPR|noIPR	null|null|null|null	NA
MA_8115459g0010	glycosyltransferase CAZy family GT32	GO:0005524	ATP binding	Molecular Function	noIPR|noIPR|noIPR|noIPR|noIPR|IPR020003|noIPR|noIPR|noIPR|noIPR	null|null|null|null|null|ATPase, alpha/beta subunit, nucleotide-binding domain, active site|ATPase, alpha/beta subunit, nucleotide-binding domain, active site|ATPase, alpha/beta subunit, nucleotide-binding domain, active site|ATPase, alpha/beta subunit, nucleotide-binding domain, active site|ATPase, alpha/beta subunit, nucleotide-binding domain, active site	AT4G19900-alpha 1,4-glycosyltransferase family protein
MA_8227330g0010	CHD3-type chromatin-remodeling factor PICKLE	GO:0006996|GO:0009725|GO:0016301|GO:0044699|GO:0046872|GO:0050794	organelle organization|response to hormone|kinase activity|single-organism process|metal ion binding|regulation of cellular process	Biological Process|Biological Process|Molecular Function|Biological Process|Molecular Function|Biological Process	noIPR	null	AT2G25170-chromatin remodeling factor CHD3 (PICKLE)
MA_8274264g0010	PREDICTED: uncharacterized protein LOC103710036 isoform X1	NA	NA	NA	NA	NA	NA
MA_8477310g0020	---NA---	NA	NA	NA	NA	NA	NA
MA_8519142g0010	tetratricopeptide repeat SKI3	GO:0005515	protein binding	Molecular Function	IPR011990|IPR011990|noIPR	Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily	AT1G76630-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_98063g0010	actin family	GO:0005524	ATP binding	Molecular Function	IPR004000|IPR004000|noIPR|noIPR|IPR004000|IPR004000|noIPR|noIPR|noIPR|noIPR	Actin family|Actin family|Actin family|Actin family|Actin family|Actin family|Actin family|Actin family|Actin family|Actin family	NA
